id,value
flare,
flare.2410,
flare.2410.100,
flare.2410.100.100Lexus sbm 0 Account 2410Non escalated,100
flare.2410.101,
flare.2410.101.101Lexus sbm 1 EscalatedAccount 2410,100
flare.2410.102,
flare.2410.102.102Lexus sbm 2 EscalatedAccount 2410,100
flare.2410.103,
flare.2410.103.103Lexus sbm 3 EscalatedAccount 2410,100
flare.2410.104,
flare.2410.104.104Lexus sbm 4 EscalatedAccount 2410,100
flare.2410.105,
flare.2410.105.105Lexus sbm 5 EscalatedAccount 2410,100
flare.2410.106,
flare.2410.106.106Lexus sbm 6 EscalatedAccount 2410,100
flare.2410.107,
flare.2410.107.107Lexus sbm 7 EscalatedAccount 2410 Will be the fastest-fast moving source,200
flare.2410.108,
flare.2410.108.108Lexus do not stock Non-escalatedAccount 2410Do not stock,97
flare.2410.109,
flare.2410.109.109Lexus Fixed sale price at price6Price6 source Account 2410,98
flare.2410.110,
flare.2410.110.110Lexus Fixed sale price at list priceMsrp sourceAccount 2410,99
flare.2410.119,
flare.2410.119.119Lexus brake parts family pricing Account 2410,50
flare.2410.500,
flare.2410.500.500-508Non lexus inventory Account 2410,100
flare.2430,
flare.2430.200,
flare.2430.200.200Bulk oil and Oil Room products Account 2430,50
flare.2411,
flare.2411.300,
flare.2411.300.300All stocked tires Tires go to 2411 Tires go to account 2411  Tires = 2411 Account 2411,75
